method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
recovery_reserve_controller,1,0.675160,0.002836,0.630415,0.005125,0.125800,0.001066,0.114534,0.001091,0.600390,0.000763,0.587838,0.000845,0.232309,0.000363,0.096269,0.001689,0.084673,0.000981,0.065723,0.000370,0.121682,0.000389,0.144933,0.001259,0.131417,0.001191,384
recovery_reserve_controller,2,0.675095,0.002846,0.630588,0.005124,0.125800,0.001062,0.114526,0.001102,0.600497,0.000736,0.588153,0.000853,0.232126,0.000350,0.096060,0.001685,0.084817,0.000962,0.065557,0.000366,0.121612,0.000382,0.144816,0.001265,0.131362,0.001199,384
recovery_reserve_controller,3,0.675210,0.002812,0.630646,0.005098,0.125821,0.001052,0.114443,0.001115,0.600368,0.000749,0.587950,0.000842,0.232124,0.000352,0.096078,0.001692,0.084772,0.000956,0.065721,0.000360,0.121627,0.000388,0.144768,0.001264,0.131356,0.001195,384
recovery_reserve_controller,4,0.675160,0.002847,0.630399,0.005128,0.125758,0.001106,0.114556,0.001095,0.599650,0.000744,0.587989,0.000821,0.232280,0.000361,0.095947,0.001681,0.084978,0.000973,0.065463,0.000365,0.121700,0.000384,0.144827,0.001259,0.131342,0.001205,384
recovery_reserve_controller,5,0.675274,0.002813,0.630819,0.005105,0.125644,0.001063,0.114513,0.001119,0.600068,0.000758,0.588136,0.000845,0.232050,0.000357,0.096086,0.001678,0.084438,0.000965,0.065755,0.000370,0.121661,0.000390,0.144787,0.001259,0.131291,0.001195,384
recovery_reserve_controller,6,0.674980,0.002848,0.630653,0.005102,0.125706,0.001055,0.114252,0.001088,0.600232,0.000730,0.588191,0.000843,0.232108,0.000370,0.096086,0.001721,0.084895,0.000981,0.065738,0.000356,0.121542,0.000389,0.144699,0.001250,0.131256,0.001194,384
recovery_reserve_controller,7,0.675324,0.002801,0.630579,0.005029,0.126133,0.001032,0.114408,0.001082,0.600143,0.000768,0.588292,0.000828,0.232279,0.000357,0.096286,0.001714,0.084485,0.000964,0.065583,0.000355,0.121442,0.000385,0.144914,0.001232,0.131439,0.001174,384
recovery_reserve_controller,8,0.675217,0.002877,0.630793,0.005141,0.125769,0.001049,0.114325,0.001101,0.600509,0.000757,0.588076,0.000823,0.232117,0.000360,0.096321,0.001684,0.084561,0.000982,0.065687,0.000363,0.121863,0.000390,0.144786,0.001251,0.131312,0.001194,384
recovery_reserve_controller,9,0.674988,0.002850,0.630493,0.005126,0.125539,0.001071,0.114555,0.001101,0.600214,0.000759,0.587910,0.000828,0.232289,0.000359,0.096130,0.001679,0.084699,0.000962,0.065462,0.000369,0.121632,0.000383,0.144790,0.001252,0.131274,0.001196,384
risk_aware_contact_planner,0,0.638342,0.003049,0.507216,0.005489,0.147792,0.001093,0.142399,0.001195,0.555608,0.000753,0.512501,0.000854,0.245934,0.000356,0.137830,0.001703,0.098113,0.000967,0.073509,0.000366,0.095562,0.000392,0.169149,0.001301,0.162444,0.001260,384
risk_aware_contact_planner,1,0.637892,0.003028,0.506645,0.005459,0.147948,0.001116,0.142439,0.001183,0.555598,0.000800,0.512702,0.000837,0.245918,0.000345,0.137856,0.001692,0.098215,0.001003,0.073454,0.000365,0.095646,0.000379,0.169313,0.001317,0.162524,0.001262,384
risk_aware_contact_planner,2,0.639052,0.002977,0.507806,0.005409,0.147604,0.001055,0.142628,0.001205,0.555514,0.000758,0.512740,0.000830,0.246011,0.000360,0.138064,0.001702,0.098248,0.000970,0.073350,0.000388,0.095517,0.000397,0.169202,0.001295,0.162522,0.001250,384
risk_aware_contact_planner,3,0.638257,0.003029,0.507140,0.005449,0.147604,0.001104,0.142416,0.001194,0.555640,0.000752,0.512110,0.000817,0.246111,0.000358,0.137726,0.001699,0.098142,0.000931,0.073507,0.000361,0.095757,0.000400,0.169152,0.001298,0.162368,0.001251,384
risk_aware_contact_planner,4,0.638236,0.002992,0.506625,0.005423,0.147979,0.001088,0.142772,0.001198,0.555497,0.000767,0.512788,0.000847,0.246037,0.000353,0.137934,0.001702,0.098087,0.000969,0.073546,0.000379,0.095765,0.000393,0.169374,0.001297,0.162690,0.001250,384
risk_aware_contact_planner,5,0.637941,0.003011,0.506286,0.005415,0.148042,0.001083,0.142514,0.001192,0.555151,0.000755,0.512738,0.000797,0.246107,0.000355,0.138012,0.001688,0.098268,0.000980,0.073715,0.000361,0.095736,0.000388,0.169412,0.001300,0.162665,0.001254,384
risk_aware_contact_planner,6,0.638487,0.003044,0.507009,0.005468,0.148042,0.001089,0.142507,0.001196,0.555438,0.000754,0.512210,0.000808,0.246040,0.000364,0.137830,0.001691,0.097935,0.000981,0.073442,0.000368,0.095623,0.000398,0.169234,0.001320,0.162544,0.001253,384
risk_aware_contact_planner,7,0.637848,0.003006,0.506603,0.005435,0.147948,0.001086,0.142437,0.001206,0.555555,0.000758,0.512303,0.000836,0.245968,0.000350,0.137569,0.001686,0.098220,0.000973,0.073386,0.000358,0.095713,0.000397,0.169204,0.001305,0.162452,0.001258,384
risk_aware_contact_planner,8,0.637941,0.003034,0.506245,0.005504,0.148136,0.001127,0.142474,0.001205,0.555153,0.000758,0.512079,0.000841,0.246000,0.000367,0.137934,0.001675,0.098191,0.000984,0.073382,0.000356,0.095846,0.000399,0.169291,0.001302,0.162607,0.001267,384
risk_aware_contact_planner,9,0.637376,0.003049,0.505744,0.005496,0.147917,0.001080,0.142622,0.001199,0.555656,0.000768,0.512071,0.000850,0.245985,0.000384,0.138038,0.001706,0.098346,0.000952,0.073528,0.000360,0.095714,0.000406,0.169351,0.001297,0.162657,0.001248,384
whole_body_mpc,0,0.569198,0.003408,0.307031,0.006188,0.199889,0.001191,0.193607,0.001431,0.511677,0.000770,0.444114,0.000860,0.248953,0.000355,0.178290,0.001699,0.144501,0.000976,0.093194,0.000366,0.070992,0.000413,0.209676,0.001415,0.218888,0.001401,384
whole_body_mpc,1,0.568843,0.003411,0.306358,0.006160,0.200114,0.001193,0.193695,0.001415,0.511638,0.000738,0.444161,0.000849,0.249142,0.000376,0.178374,0.001693,0.144535,0.000961,0.093193,0.000371,0.071037,0.000412,0.209749,0.001414,0.219024,0.001386,384
whole_body_mpc,2,0.568911,0.003389,0.307028,0.006108,0.200021,0.001191,0.193459,0.001386,0.511928,0.000760,0.444360,0.000836,0.248550,0.000370,0.178374,0.001692,0.144354,0.000975,0.093018,0.000364,0.071018,0.000371,0.209645,0.001412,0.218847,0.001382,384
whole_body_mpc,3,0.567869,0.003404,0.305375,0.006145,0.200201,0.001183,0.193793,0.001416,0.511211,0.000791,0.444146,0.000843,0.248713,0.000349,0.178212,0.001679,0.144258,0.000953,0.093140,0.000377,0.071009,0.000401,0.209734,0.001405,0.219019,0.001385,384
whole_body_mpc,4,0.568843,0.003366,0.306646,0.006128,0.200201,0.001212,0.193419,0.001396,0.511539,0.000769,0.444172,0.000841,0.248933,0.000347,0.178186,0.001713,0.144501,0.000985,0.093137,0.000367,0.071001,0.000393,0.209599,0.001412,0.218885,0.001396,384
whole_body_mpc,5,0.569198,0.003352,0.306744,0.006096,0.200177,0.001162,0.193668,0.001403,0.511492,0.000771,0.444079,0.000882,0.248792,0.000362,0.178322,0.001709,0.144639,0.000993,0.093108,0.000379,0.071046,0.000398,0.209874,0.001415,0.219024,0.001387,384
whole_body_mpc,6,0.569417,0.003392,0.307056,0.006157,0.200177,0.001193,0.193645,0.001420,0.511433,0.000780,0.444044,0.000881,0.248796,0.000347,0.178322,0.001687,0.144250,0.000986,0.093050,0.000368,0.070968,0.000416,0.209747,0.001405,0.218959,0.001394,384
whole_body_mpc,7,0.569542,0.003470,0.307415,0.006223,0.199857,0.001181,0.193649,0.001414,0.511089,0.000789,0.444319,0.000855,0.248861,0.000361,0.178030,0.001679,0.144310,0.000991,0.093285,0.000369,0.070838,0.000418,0.209668,0.001403,0.218828,0.001384,384
whole_body_mpc,8,0.569141,0.003416,0.306690,0.006142,0.200114,0.001192,0.193793,0.001398,0.511290,0.000755,0.444061,0.000838,0.248916,0.000357,0.177957,0.001669,0.144605,0.000968,0.093082,0.000370,0.071029,0.000411,0.209848,0.001399,0.218966,0.001378,384
whole_body_mpc,9,0.568958,0.003442,0.306665,0.006203,0.199982,0.001206,0.193697,0.001416,0.511240,0.000785,0.444198,0.000862,0.248606,0.000366,0.178212,0.001697,0.144665,0.000972,0.093089,0.000383,0.071107,0.000417,0.209722,0.001415,0.218945,0.001399,384
